id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors
1501006,QA Education,"QA Education Magazine, guide to purchasing services and products for Head teachers and education decision makers within schools, Academies",Kids,,2,"United Kingdom, Chorley","","",PR7 2,United Kingdom,Chorley,
1370997,Seeking Millionaire,"Millionaire dating website that matches those who are successful, wealthy with singles, who are attractive",Dating,,2,"United States, Las Vegas",,,,United States,Las Vegas,
1726114,LullaMe,Manufacturer of self-rocking baby mattress for sleepless babies,Kids,Health,2,"Kuortanegatan 2, 00510 Helsingfors, Finland",Kuortanegatan,2,00510,Finland,Helsingfors,"femtech,automated process,outside tech,Automated Technology"
1475926,Book Box,Book Box,Kids,Wellness Beauty,2,"02000 Kiev, Ukraine",,,02000,Ukraine,Kiev,Human Resources
223088,Uncharted Play,,Kids,,2,"United States, New York",,,10007,United States,New York,
1334327,"Encantos Media Studios, PBC","A purpose-driven family entertainment & education company for the next generation of millennial, mobile & multicultural consumers",Kids,,2,"Culver City, CA 90232, USA",,,90232,United States,Culver City,"Digital Entertainment,family,children,app,video,Entertainment"
1351151,Affinity Stores,Affinity creates private-labeled digital storefronts,Kids,,2,"22101 McLean, Virginia, United States","","",22101,United States,McLean,
116603,Budge Studios,Fun apps for kids featuring your favorite characters! #kidsapps,Kids,,2,"5455 De, Avenue de Gaspé Suite 200, Montréal, QC H2T 3B3, Canada",Avenue de Gaspé,,H2T 3B3,Canada,Montreal,"kid,app"
1454505,IRevise.com,Index page,Kids,,2,"50 Salthill Rd Lower, Galway, H91 DWR1, Ireland",Salthill Road Lower,,,Ireland,Galway,Student
1641637,The Johns Hopkins Bloomberg School of Public Health,"Research, education, and practice to find solutions for health problems",Kids,,2,"United States, Baltimore",,,21202,United States,Baltimore,user behavior
12130,ElimiDate,Puts the fun back into flirting,Dating,,2,"Poland, Sopot, Miko?aja Reja, 13/15",Miko?aja Reja,13/15,81,Poland,Sopot,Freemium
187633,Coupeez Inc.,Coupeez: Online Promotions,Dating,,2,"United States, Los Angeles",,,,United States,Los Angeles,promotion
1494526,MindZone Group,MindZone Group was established to nurture and grow exemplary businesses within the fields of mental and behavioural health,Kids,,2,"United Kingdom, London","","",SW1A 2,United Kingdom,London,
1307510,Brica,"BRICA, formerly known as the Blue Ridge International Products Company, has been keeping kids safe and comfortable in the car for over 20",Kids,,4,"United States, Charlotte",,,,United States,Charlotte,branding
1495192,TutorTap,Simple platform provides online one-on-one tutoring service,Kids,Education,2,"20-22 Wenlock Rd, Hoxton, London N1 7GU",Wenlock Road,20-22,N1 7GU,United Kingdom,London,
139643,The fun singles,"Meet Singles, Join Events, Mixers, Speed Dating - The Fun Singles",Dating,,2,"United States, Seattle",,,,United States,Seattle,"Dating,Freemium"
34693,FirstCry,Online shopping store offering a range of baby care products and toys,Kids,,2,"India, Pune",,,411045,India,Pune,"verified Unicorns and $1B exits,Shoes,kid,nursing,Interior Design,Apparel,Shopping,Retail"
1519746,Eday-care,Eday-care app is a digital real time management platform for pre-schools and kindergartens,Kids,Education,2,"Armégatan 3, 171 71 Solna, Sweden",Armégatan,3,171 71,Sweden,Stockholms län,"school,real time,real time,app,platform"
