NAME,Revenue_2015 ,Revenue_2016,Revenue_2017,Revenue_2018,Revenue_2019,Employees_2017,Employees_2018,Employees_2019,Employees_2020,Revenue_2020(To predict)
LAKI,"19,039,781,738","24,671,631,399","24,573,762,847","22,608,855,366","26,574,540,757",,805,790,785,
YETS,"3,687,564,000","3,663,588,000","3,420,430,000","3,265,963,000","3,465,058,000",,2394,2494,2548,
PNMD,"3,139,300,000","3,214,000,000","3,196,900,000","3,193,700,000","3,166,000,000",6411,6506,7750,,
VKNF,"1,994,112,000","2,023,348,000","1,982,028,000","2,007,387,000","2,009,031,000",,1925,1995,2050,
HHVD,"761,248,939","1,121,284,088","1,245,810,056","1,317,864,838","1,779,401,992",,5159,5599,5483,
OWRH,"1,542,346,719","1,432,739,017","1,684,764,846","1,878,176,166","1,756,472,782",,319,343,335,
DQVE,"1,198,734,028","1,377,446,067","1,461,826,444","1,657,818,945","1,663,037,290",,3405,3377,3096,
SMBV,"1,423,357,300","1,455,164,329","1,406,572,220","1,534,895,751","1,667,789,302",197,203,209,,
LLQC,"1,462,664,130","1,343,274,474","1,487,356,029","1,562,650,199","1,575,028,199",3492,3748,3845,,
XXEK,"1,592,032,000","1,585,729,000","1,476,923,000","1,451,335,000","1,513,090,000",389,425,442,,
LPSU,"1,710,653,330","1,288,229,549","1,155,439,498","1,233,895,209","1,432,188,686",262,275,269,,
ANND,"555,973,000","576,620,000","1,017,173,000","1,204,835,000","1,109,359,000",931,1088,1192,,
QASZ,"919,243,085","1,015,769,529","900,881,782","1,006,701,494","1,012,184,166",,673,680,662,
DUNN,"661,353,000","328,517,000","607,659,000","872,695,000","949,310,000",,1023,1308,1688,
KVUI,"697,614,279","971,291,490","1,069,414,216","829,647,736",,4414,4163,4087,4044,
UMBA,"412,675,000","486,254,000","571,930,000","690,266,000","783,906,000",469,472,473,491,
GNLT,"405,693,000","488,220,000","575,394,000","625,475,000","664,637,000",,3270,3504,3599,
JONQ,,"382,173,771","490,623,456","571,527,087",,,2071,1875,1860,
PEAA,"460,549,323","492,243,000","535,840,000","563,453,000","562,638,000",,649,621,575,
PVUP,"612,978,589","609,776,048","606,999,243","590,276,511","554,921,651",1698,1731,1808,,
JTTI,"351,440,196","390,350,842","435,090,410","474,053,422","497,653,585",411,417,434,,
QIXT,"433,086,541","610,646,670","474,426,346","405,180,529","482,567,467",,26,31,30,
DTDM,"302,325,000","220,155,000","392,944,000","451,754,000","463,018,000",193,302,340,345,
GXPB,"366,285,554","348,004,135","356,524,364","361,173,035","412,242,566",626,661,664,,
FJIW,"307,269,595","333,617,043","363,232,201","410,240,592","404,385,444",1173,1266,1372,,
YGWJ,"49,512,591","142,684,869","284,524,299","362,025,998","392,146,542",,,14,,
ASSW,,"175,233,624","238,228,921","300,629,085","375,501,401",318,387,443,523,
GRRA,"163,348,551","202,538,162","235,217,402","248,395,184","327,565,784",,250,309,350,
KMBP,"376,540,000","386,115,000","346,352,000","329,484,000","314,070,000",,1651,1611,1719,
NXMM,"46,196,403","55,387,572","139,607,557","119,131,850","155,226,559",50,62,88,92,
AMKV,"455,094,000","442,608,000","400,748,000","303,541,000","305,815,000",,453,463,458,
VMBR,"42,119,939","89,056,634","182,617,242","242,496,665","297,603,734",,,,1,
LHWX,"120,714,035","157,082,547","197,283,410","236,346,556","288,727,676",,65,63,54,
TICL,"166,919,024","242,519,870","253,319,197","258,210,674","287,016,860",,168,165,166,
EKOR,"268,843,672","283,169,003","283,209,156","291,877,495","279,340,326",173,165,126,,
DAOO,"242,954,049","242,487,099","247,521,696","267,444,463","276,942,313",,14272,14676,14834,
YZHM,"127,420,628","164,547,181","189,035,866","247,124,894","261,321,418",,673,764,763,
KXGN,"273,515,293","247,808,657","266,132,638","283,287,044","257,691,022",368,385,390,311,
JVYR,"72,081,753","123,174,793","146,985,049","200,587,031","257,210,211",,118,125,122,
HEAG,"74,118,140","106,202,524","112,191,048","159,511,876","253,970,992",422,437,450,480,
IAUL,"208,041,626","206,945,935","210,963,455","221,045,097","226,939,816",,17228,17532,18375,
RYLP,"214,318,000","208,703,000","216,624,000","224,668,000","214,847,000",6117,5827,5423,,
TTXI,"126,365,788","87,665,121","162,090,401","185,577,506","211,618,542",,,11,,
BQLX,"109,158,435","138,757,270","172,041,507","207,055,346",,130,156,162,175,
VPHY,"238,086,649","232,350,372","225,356,744","203,864,524","193,019,552",806,821,792,,
ECMR,"111,881,031","162,363,187","170,300,859","172,913,689","192,457,845",1996,2194,2333,,
VOHZ,"150,094,356","125,460,637","159,266,227","184,781,865",,292,328,351,381,
SUWX,"122,040,000","134,964,000","142,107,000","157,051,000","187,921,000",473,530,535,,
WAQK,"54,089,326","45,560,380","182,154,874","180,279,489",,,3201,3361,3474,
MPGK,"132,306,186","137,794,000","136,319,852","164,616,149","175,910,013",,1970,2134,2216,
XBKY,"20,157,049","146,717,716","159,059,911",,,378,429,467,,
YDPS,"170,578,160","170,807,379","202,492,758","170,532,364",,,2032,2115,2083,
ABVT,"716,839,201","693,089,011","646,084,784","169,954,973","173,033,388",,3635,3598,3506,
KMSR,"118,310,289","63,382,459","88,614,638","181,995,916","171,380,880",163,185,223,243,
DPXL,"135,004,456","154,384,377","136,425,544","165,099,732",,601,603,591,628,
OQWD,"232,514,617","211,794,571","179,216,304","173,857,844","165,937,599",628,624,606,,
QLDI,"89,919,527","117,421,610","134,840,640","144,683,930","158,838,146",,295,345,365,
LJLD,"59,810,562","100,881,747","110,405,058","119,171,348","156,248,575",,64,67,64,
YKQM,"117,428,290","166,866,164","118,448,462","152,454,186","153,296,790",50,56,52,,
LBYO,"117,076,950","121,240,000","125,138,000","131,616,000","153,186,000",331,331,331,,
ZLXM,"251,980,157","547,714,853","453,362,527","324,712,904","148,722,855",,36,33,31,
ZYCO,"159,188,000","187,797,000","207,255,000","192,709,000","150,192,000",,212,207,194,
BNXP,"159,188,000","187,797,000","207,255,000","192,709,000","150,192,000",,212,207,194,
LUGR,"120,102,121","135,980,090","142,293,551","133,212,938","144,617,256",,1636,1732,1685,
XFDO,"28,829,467","38,848,239","66,031,951","106,405,505","144,224,127",,68,79,95,
VQND,"116,249,000","117,427,000","122,603,000","133,570,000","136,952,000",,139,154,178,
QAPF,"34,193,591","41,905,042","50,214,085","105,704,051","131,192,465",,431,650,714,
HIVB,"56,479,642","69,423,039","79,257,665","92,243,381","130,650,835",,,160,189,
TEMG,"178,179,604","176,434,246","205,523,821","151,358,326","129,694,147",,355,344,309,
FZZR,"23,558,587","66,438,140","86,167,925","94,384,834","126,993,777",234,226,231,,
BXBU,"72,290,000","84,525,000","78,130,000","122,522,000",,37,43,76,,
HRPQ,"59,412,000","57,382,000","76,557,000","121,322,000",,,,4,,
YMPG,"112,239,421","115,168,086","119,760,006","123,721,470","125,877,166",242,232,248,250,
OKBG,"107,377,366","103,415,050","114,394,923","127,212,116","122,180,492",1161,1264,1269,1294,
HIXZ,"53,061,659","78,273,098","92,717,586","93,868,457","121,623,909",,313,342,355,
LQOF,"52,331,190","48,648,000","58,503,000","83,503,000","118,542,543",82,92,102,115,
GAPS,"118,567,269","116,244,410","110,868,466",,,,691,697,701,
IVSE,"52,133,544","78,347,106","111,796,931",,,2795,3343,4158,,
JCBA,"44,879,766","60,963,333","77,089,020","89,662,691","112,936,848",,185,210,244,
XTIF,"57,799,215","76,803,200","86,570,330","99,537,256","109,715,907",,,,8,
NFSD,"38,325,720","48,753,475","61,300,121","75,025,429","109,092,134",,297,313,332,
JVXC,"139,010,837","121,336,277","94,161,368","84,348,750","107,877,035",,40,40,44,
CQTB,"83,952,020","79,689,034","84,038,477","101,713,783","103,347,814",79,90,92,,
XPMT,"33,825,974","47,611,191","51,816,584","58,924,968","102,381,412",644,701,766,657,
